date, pm25, pm10, o3, no2, so2, co
2024/10/29, 29, 19, 12, 9, , 
2024/10/30, 56, 24, 12, 4, , 
2024/10/31, 54, 13, 13, 6, , 
2024/11/1, 43, 18, 16, 5, , 
2024/11/2, 52, 18, 10, 4, , 
2024/11/3, 51, 19, 8, 6, , 
2024/11/4, 45, 13, 3, 7, , 
2024/11/5, 37, 18, 5, 9, , 
2024/11/6, 33, 8, 9, 6, , 
2024/11/7, 32, 8, 7, 5, , 
2024/11/8, 31, 14, 4, 7, , 
2024/11/9, 45, 15, 8, 10, , 
2024/11/10, 46, 21, 9, 9, , 
2024/11/11, 68, 29, 13, 5, , 
2024/11/12, 79, 23, 12, 6, , 
2024/11/13, 71, 9, 17, 6, , 
2024/11/14, 34, 13, 11, 8, , 
2024/11/15, 40, 19, 7, 10, , 
2024/11/16, 51, 13, 23, 6, , 
2024/11/17, 38, 3, 27, 2, , 
2024/11/18, 11, 3, 31, 3, , 
2024/11/19, 7, 3, 27, 4, , 
2024/11/20, 11, 2, 25, 3, , 
2024/11/21, 10, 6, 26, 5, , 
2024/11/22, 23, 6, 28, 6, , 
2024/11/23, 22, 10, 20, 8, , 
2024/11/24, 26, 19, 17, 17, , 
2024/11/25, 45, 11, 27, 9, , 
2024/11/26, 31, 12, 12, 12, , 
2024/11/27, 33, 4, 27, 5, , 
2024/11/28, 14, 9, 19, 8, , 
2024/11/29, 30, 12, 12, 9, , 
2024/11/30, 41, 16, 2, 12, , 
2024/12/1, 48, 14, 11, 15, , 
2024/12/2, 51, 5, 21, 6, , 
2024/12/3, 16, 11, 18, 10, , 
2024/12/4, 36, 11, 18, 12, , 
2024/12/5, 38, 4, 27, 3, , 
2024/12/6, 10, 8, 21, 8, , 
2024/12/7, 21, 8, 23, 6, , 
2024/12/8, 22, 13, 13, 3, , 
2024/12/9, 40, 20, 9, 5, , 
2024/12/10, 35, 6, 7, 5, , 
2024/12/11, 48, 332, 14, 4, , 
2024/12/12, 63, 8, 12, 5, , 
2024/12/13, 53, 10, 22, 9, , 
2024/12/14, 37, 6, 24, 3, , 
2024/12/15, 16, 5, 28, 4, , 
2024/12/16, 16, 12, 14, 9, , 
2024/12/17, 43, 15, 25, 16, , 
2024/12/18, 35, 12, 29, 12, , 
2024/12/19, 24, 9, 25, 5, , 
2024/12/20, 22, 10, 28, 4, , 
2024/12/21, 12, 9, 31, 1, , 
2024/12/22, 5, 9, 27, 3, , 
2024/12/23, 17, 9, 23, 4, , 
2024/12/24, 27, 10, 20, 10, , 
2024/12/25, 38, 12, 13, 7, , 
2024/12/26, 49, 16, 6, 12, , 
2024/12/27, 60, 18, 1, 17, , 
2024/12/28, 59, 20, 2, 16, , 
2024/12/29, 64, , , , , 
2024/7/1, 21, 11, 31, 3, , 
2024/7/2, 22, 6, 26, 2, , 
2024/7/3, 14, 5, 31, 1, , 
2024/7/4, 11, 7, 34, 3, , 
2024/7/5, 19, 21, 39, 4, , 
2024/7/6, 40, 8, 24, 1, , 
2024/7/7, 17, 18, 29, 2, , 
2024/7/8, 25, 21, 36, 3, , 
2024/7/9, 39, 22, 39, 4, , 
2024/7/10, 56, 17, 36, 3, , 
2024/7/11, 32, 18, 36, 3, , 
2024/7/12, 33, 12, 30, 2, , 
2024/7/13, 20, 12, 39, 3, , 
2024/7/14, 25, 16, 44, 4, , 
2024/7/15, 39, 13, 32, 3, , 
2024/7/16, 30, 15, 28, 4, , 
2024/7/17, 26, 21, 38, 3, , 
2024/7/18, 39, 23, 52, 5, , 
2024/7/19, 54, 21, 38, 4, , 
2024/7/20, 50, 22, 48, 3, , 
2024/7/21, 51, 10, 36, 2, , 
2024/7/22, 21, 10, 34, 4, , 
2024/7/23, 24, 10, 33, 2, , 
2024/7/24, 19, 24, 43, 4, , 
2024/7/25, 42, 18, 46, 5, , 
2024/7/26, 45, 23, 46, 4, , 
2024/7/27, 51, 13, 35, 2, , 
2024/7/28, 29, 12, 45, 5, , 
2024/7/29, 32, 17, 46, 5, , 
2024/7/30, 44, 23, 67, 5, , 
2024/7/31, 53, 12, 45, 2, , 
2024/8/1, 29, 16, 39, 2, , 
2024/8/2, 37, 12, 40, 3, , 
2024/8/3, 30, 12, 33, 2, , 
2024/8/4, 35, 9, 34, 3, , 
2024/8/5, 25, 15, 45, 4, , 
2024/8/6, 37, 15, 42, 4, , 
2024/8/7, 35, 11, 28, 4, , 
2024/8/8, 30, 13, 39, 4, , 
2024/8/9, 33, 14, 38, 3, , 
2024/8/10, 32, 18, 43, 4, , 
2024/8/11, 44, 20, 45, 5, , 
2024/8/12, 45, 25, 47, 3, , 
2024/8/13, 43, 15, 55, 3, , 
2024/8/14, 30, 11, 49, 4, , 
2024/8/18, 19, 5, 21, 2, , 
2024/8/19, 23, 9, 19, 2, , 
2024/8/21, 13, 13, 35, 5, , 
2024/8/22, 37, 16, 44, 4, , 
2024/8/23, 55, 16, 47, 4, , 
2024/8/24, 47, 9, 34, 1, , 
2024/8/25, 31, 8, 22, 4, , 
2024/8/26, 25, 12, 32, 3, , 
2024/8/30, 60, 26, 47, 6, , 
2024/8/31, 59, 25, 44, 3, , 
2024/9/1, 61, 17, 47, 3, , 
2024/9/2, 32, 13, 53, 4, , 
2024/9/3, 28, 21, 50, 5, , 
2024/9/4, 45, 15, 39, 6, , 
2024/9/5, 43, 12, 32, 3, , 
2024/9/6, 23, 17, 43, 5, , 
2024/9/7, 34, 23, 40, 4, , 
2024/9/8, 49, 6, 27, 2, , 
2024/9/9, 15, 5, 29, 2, , 
2024/9/10, 13, 8, 26, 2, , 
2024/9/11, 20, 4, 27, 4, , 
2024/9/12, 12, 6, 23, 4, , 
2024/9/13, 17, 3, 25, 2, , 
2024/9/14, 12, 8, 31, 3, , 
2024/9/15, 17, 8, 24, 4, , 
2024/9/16, 29, 5, 24, 4, , 
2024/9/17, 16, 17, 29, 3, , 
2024/9/18, 40, 22, 37, 3, , 
2024/9/19, 53, 19, 34, 4, , 
2024/9/20, 49, 19, 32, 6, , 
2024/9/21, 51, 20, 31, 6, , 
2024/9/22, 53, 19, 35, 6, , 
2024/9/23, 51, 7, 37, 2, , 
2024/9/24, 18, 5, 35, 3, , 
2024/9/25, 17, 8, 29, 5, , 
2024/9/26, 16, 4, 27, 3, , 
2024/9/27, 11, 6, 25, 5, , 
2024/9/28, 20, 7, 30, 4, , 
2024/9/29, 18, 8, 18, 6, , 
2024/9/30, 19, 10, 27, 4, , 
2024/4/1, 12, 2, 39, 1, , 
2024/4/2, 8, 5, 33, 6, , 
2024/4/3, 12, 4, 36, 2, , 
2024/4/4, 15, 8, 38, 4, , 
2024/4/5, 18, 14, 45, 6, , 
2024/4/6, 32, 20, 40, 6, , 
2024/4/7, 29, 47, 33, 10, , 
2024/4/8, 60, 33, 33, 5, , 
2024/4/9, 38, 7, 31, 3, , 
2024/4/10, 16, 17, 33, 7, , 
2024/4/11, 44, 22, 39, 9, , 
2024/4/12, 54, 20, 44, 7, , 
2024/4/13, 51, 11, 38, 4, , 
2024/4/14, 30, 16, 37, 7, , 
2024/4/15, 37, 5, 38, 2, , 
2024/4/16, 12, 4, 31, 4, , 
2024/4/17, 12, 7, 30, 6, , 
2024/4/18, 25, 5, 35, 3, , 
2024/4/19, 15, 3, 31, 3, , 
2024/4/20, 11, 7, 29, 3, , 
2024/4/21, 18, 49, 32, 2, , 
2024/4/22, 27, 33, 30, 4, , 
2024/4/23, 41, , 35, 6, , 
2024/4/24, 37, , 38, 3, , 
2024/4/25, 14, , 40, 8, , 
2024/4/26, 21, , 43, 6, , 
2024/4/27, 21, , 42, 3, , 
2024/4/28, 17, , 43, 6, , 
2024/4/29, 32, , 41, 7, , 
2024/4/30, 53, , 42, 4, , 
2024/5/1, 48, , 39, 4, , 
2024/5/2, 22, , 30, 2, , 
2024/5/3, 17, , 33, 3, , 
2024/5/4, 29, , 34, 4, , 
2024/5/5, 23, , 36, 5, , 
2024/5/6, 18, , 30, 4, , 
2024/5/7, 21, , 20, 5, , 
