date, pm25, pm10, o3, no2, so2, co
2025/2/17, 56, 31, , 13, , 
2025/2/18, 72, 24, , 14, , 
2025/2/19, 65, 48, , 27, , 
2025/2/20, 84, 32, , 21, , 
2025/2/21, 61, 53, , 25, , 
2025/2/22, 98, 33, , 22, , 
2025/2/23, 53, 35, , 26, , 
2025/2/24, 48, 27, , 19, , 
2025/2/25, 37, 13, , 16, , 
2025/2/26, 12, 13, , 20, , 
2025/2/27, 18, 19, , 22, , 
2025/2/28, 26, 21, , 15, , 
2025/3/1, 52, 12, , 11, , 
2025/3/2, 40, 21, , 21, , 
2025/3/3, 43, 35, , 29, , 
2025/3/4, 66, 44, , 31, , 
2025/3/5, 75, 46, , 33, , 
2025/3/6, 79, 47, , 34, , 
2025/3/7, 83, 30, , 29, , 
2025/3/8, 64, 27, , 28, , 
2025/3/9, 58, 37, , 29, , 
2025/3/10, 65, 23, , 24, , 
2025/3/11, 43, 35, , 24, , 
2025/3/12, 65, 14, , 21, , 
2025/3/13, 39, 13, , 18, , 
2025/3/14, 31, 12, , 6, , 
2025/3/15, 40, 12, , 10, , 
2025/3/16, 41, 13, , 14, , 
2025/3/17, 36, 9, , 8, , 
2025/3/18, 21, 25, , 23, , 
2025/3/19, 58, 25, , 25, , 
2025/3/20, 54, 17, , 16, , 
2025/3/21, 43, 25, , 13, , 
2025/3/22, 59, 16, , 17, , 
2025/3/23, 37, 15, , 20, , 
2025/3/24, 35, 19, , 20, , 
2025/3/25, 50, 25, , 19, , 
2025/3/26, 60, 12, , 14, , 
2025/3/27, 33, 19, , 15, , 
2025/3/28, 50, 24, , 18, , 
2025/3/29, 64, 11, , 12, , 
2025/3/30, 36, 9, , 16, , 
2025/3/31, 18, 12, , 11, , 
2024/10/1, 25, 10, , 20, , 
2024/10/2, 19, 13, , 11, , 
2024/10/3, 42, 8, , 11, , 
2024/10/4, 29, 10, , 15, , 
2024/10/5, 30, 8, , 6, , 
2024/10/6, 28, 10, , 17, , 
2024/10/7, 27, 17, , 17, , 
2024/10/8, 36, 6, , 13, , 
